rotation_deg,Fx,Fy,Fz,Tau_x,Tau_y,Tau_z,Torque_Mag
0,-1.3066282353469791,0.00027802108056472,-0.003140745917252633,0.4743868864328273,-2.316958616047584,-0.5970360366446599,2.439219583298915
1,-1.3072266004920778,-0.023126001701777383,-0.0033641315370672247,0.5138990270416536,-2.3922453775355224,-0.4600430467229338,2.4896927041650243
2,-1.3074248219043851,-0.04653113048557464,-0.003579276758905687,0.5553769045734751,-2.4639280360396967,-0.33074292344608974,2.547307550007599
3,-1.307219573007401,-0.06993224848115057,-0.003785497252111236,0.598850339376945,-2.5319563592441376,-0.20790696268719472,2.610105369371613
4,-1.3066070442235476,-0.09332282117538747,-0.003981968429624444,0.644196385157839,-2.595859649415247,-0.09119947234375526,2.6761527695310026
5,-1.3055800309686152,-0.11669663321559758,-0.004169619770651322,0.691409334091633,-2.655978919012043,0.02005042817670417,2.74457153398768
6,-1.3041378168194004,-0.14004398442422636,-0.004348299154045649,0.7405961222910242,-2.7121839655373106,0.12539489764399514,2.814275814419287
7,-1.3022765564789573,-0.16335634981625058,-0.004516411731056634,0.7913668122223052,-2.7639620704634296,0.22499363233118744,2.8838116951418593
8,-1.299987304696812,-0.18662503916516748,-0.004674852825064813,0.8434878175826915,-2.8115183725952773,0.3186870500986713,2.9525698457025196
9,-1.2972680857237957,-0.20983809190665131,-0.004824393696865168,0.8968022228066668,-2.8550542013108764,0.40566898037390353,3.0199596091490144
10,-1.2941211172714544,-0.232990617511118,-0.004966167518822497,0.9513342053520458,-2.8945685579988347,0.4872916617068682,3.0856145369759496
11,-1.290542338536336,-0.25607534682404826,-0.005101348672596591,1.0069463810419637,-2.9304463186265615,0.5644007332272982,3.149603916100084
12,-1.2865328409492747,-0.2790843545633473,-0.005229889450015207,1.0634296474626093,-2.962609448227796,0.6374261241727616,3.211580517690466
13,-1.2820893464436147,-0.3020080879570283,-0.005352058701992155,1.1208805417762477,-2.991384773985075,0.7063266969231325,3.271643846409431
14,-1.2772145991815806,-0.3248369417316967,-0.005467919273011558,1.1792788876867122,-3.016919124983638,0.7709006951754335,3.329682805231996
15,-1.2719090054080855,-0.347562144800591,-0.005577488250931921,1.2384863325262516,-3.0389116325494654,0.8317923974730526,3.3853671734086324
16,-1.2661735465825041,-0.3701786912019801,-0.005679583985950304,1.2981563396700526,-3.0574203248897986,0.8900719920617193,3.4387871519370763
17,-1.2600086503171448,-0.39267528998903134,-0.005774956145049161,1.3582518397720484,-3.0724888722963106,0.94525138705405,3.4897759405664446
18,-1.2534142985388583,-0.4150406967073681,-0.005863068078055399,1.4186748935034867,-3.0839851611342946,0.9969595650612327,3.5380123377287327
19,-1.2463958555903711,-0.437267044464517,-0.005943942940765786,1.479207666283438,-3.0917789285971473,1.045356227508858,3.583283676420354
20,-1.2389547233191134,-0.4593465573957976,-0.006017423702031272,1.5394054074462886,-3.095955948344343,1.0907608019187827,3.625530494916034
21,-1.231097113286017,-0.48127229971394614,-0.0060812966531658364,1.5990250468549485,-3.096230608985882,1.1332140893296683,3.664382520527275
22,-1.2228232946942,-0.5030348921291923,-0.006136337391326737,1.6580592280964033,-3.092444044585591,1.1729382554458394,3.6997506299556
23,-1.214136611160125,-0.524625832809238,-0.006181818547072333,1.7159503154538434,-3.084510925427996,1.2099883303832886,3.731322137507636
24,-1.2050398967709228,-0.5460366974287425,-0.006219445263155921,1.7726579755514755,-3.073165036214779,1.244234808476327,3.7596249675630364
25,-1.195537332754274,-0.5672616562522992,-0.006248544444311378,1.8281926162404496,-3.0582059368303685,1.27655354317138,3.78477221807654
26,-1.1856277492882616,-0.5882920444194091,-0.0062696476563219245,1.8824804014282865,-3.039911461201086,1.3078528854924554,3.8072658593529116
27,-1.1753173376384232,-0.60911905552528,-0.006283096994948036,1.935384638264584,-3.0182084884418954,1.3374955311652734,3.8267728536745325
28,-1.164608894344459,-0.6297351104313563,-0.006288434518982844,1.9865652248022414,-2.993251441256144,1.3661579535126642,3.8434858054793795
29,-1.1535108735558084,-0.6501323138135038,-0.006284718815266484,2.035522318523278,-2.964947224112789,1.392982681274101,3.856768582804794
30,-1.1420255853964763,-0.6703026696608553,-0.006273994371982981,2.0824849391274554,-2.9338821408589886,1.4187321063476237,3.867455071196764
31,-1.130155894565487,-0.6902373763995576,-0.006256020523064083,2.1271548807362084,-2.899959379713526,1.4434964041942073,3.87533665112464
32,-1.1179106518258752,-0.7099280204854957,-0.006231578569629057,2.1696284434825275,-2.863353065725719,1.4665840551836973,3.8803282274426665
33,-1.1052948015245292,-0.72936490724279,-0.006199783671422893,2.2096342977221366,-2.8240404884254864,1.4870091052472414,3.881866109105859
34,-1.0923122733550874,-0.7485402743327156,-0.006160420956335482,2.2468185979529194,-2.7815850438932666,1.5055972762388337,3.8797206506056106
35,-1.078973993505573,-0.7674497394977021,-0.006112892264056492,2.2807382607684596,-2.7361146198849964,1.5222099887450347,3.873656344736419
36,-1.0652881771143032,-0.786087777606188,-0.006056544620699525,2.3112843238179357,-2.687884211897672,1.5372906688558687,3.863938322831593
37,-1.0512633937541427,-0.8044549836408387,-0.005990891456470697,2.33788058604809,-2.636726948281356,1.5524545423347593,3.8507310657107046
38,-1.0369067679419532,-0.82254550334664,-0.005918193216427698,2.360642176340885,-2.5830975695292784,1.5673780848936512,3.834279410714924
39,-1.0222250240887987,-0.8403534211829587,-0.005838990218309178,2.3794963413835775,-2.527145117935302,1.5821888537572983,3.8146804393967124
40,-1.007227655744513,-0.8578753572482388,-0.0057522850741699985,2.3940552939134694,-2.468948527542992,1.5969150581587257,3.7917469964313155
41,-0.9919237137806167,-0.8751093379291165,-0.005659091428385935,2.4043087217787273,-2.408724199607356,1.611803544295738,3.7657088794541274
42,-0.9763236038206512,-0.8920554269236545,-0.005560208833639782,2.410703997702543,-2.346854921158287,1.6272169358619861,3.73725256597142
43,-0.9604421541575768,-0.9087187621122524,-0.005456401882681468,2.4130642720882487,-2.2834701438331133,1.643829079715756,3.7066547077284064
44,-0.9442883278268759,-0.9250945301295929,-0.005347066537609423,2.411175356858571,-2.2186591664886874,1.6602237112870446,3.6732217289575733
45,-0.9278708309278201,-0.9411813427485587,-0.005230830720568242,2.404883418306587,-2.1524188676988185,1.6763385311192738,3.6368230790879785
46,-0.9112019395484883,-0.9569809311041462,-0.005109169067098938,2.394078415272185,-2.085213512397807,1.6917547440672411,3.5974659087797614
47,-0.8942936941551102,-0.9724942895961984,-0.004983491522509345,2.378921755502409,-2.017564379548793,1.7058779037318483,3.5552572574804397
48,-0.8771560252476241,-0.9877225604827357,-0.004854263101534053,2.359730061402028,-1.9495004357551817,1.7183039589548568,3.5101917906368016
49,-0.8598022201551558,-1.002669884969041,-0.0047219931177436255,2.336955863990024,-1.8813192688923868,1.728080261612394,3.4622227386922266
50,-0.8422380418236296,-1.017332278509527,-0.004588714192790128,2.3108955979696164,-1.8136828054872254,1.7339693956500095,3.4112070662283496
51,-0.824475007044995,-1.0317084838724784,-0.004454083570464385,2.281512575693314,-1.7465474805833543,1.7340821696576598,3.3560048727770675
52,-0.8065177496335197,-1.0458018899463462,-0.004319406829757673,2.249165457919369,-1.6801834792633359,1.7294728467827214,3.2973986881852526
53,-0.7883666599302263,-1.059606249471918,-0.004183711415114516,2.2139147445109777,-1.6144253578700631,1.7201392029907225,3.2352228068191144
54,-0.770023519346876,-1.073113680599873,-0.0040488778416405205,2.176516228943218,-1.5498555077455556,1.7052262008288102,3.169711561914664
55,-0.7514977798133621,-1.0863213071325915,-0.003916180219507112,2.137179141530289,-1.4868513975673723,1.6824169503134367,3.0998045996711077
56,-0.7327888006995661,-1.0992283631949127,-0.003785316033505919,2.0958559282554248,-1.4253563479529252,1.6532298811641035,3.026123234540686
57,-0.7139028689202929,-1.1118368840501165,-0.003657782896597293,2.052652324546578,-1.365878295901745,1.61732087064679,2.9486830761056058
58,-0.6948423706250421,-1.1241426325621402,-0.0035350214246564937,2.008383493553863,-1.30878702812265,1.5747569641506012,2.8681679236583335
59,-0.6756132543618666,-1.1361432939711813,-0.0034177182138618875,1.9633788097898746,-1.254172273178532,1.524290952320636,2.7841097946863127
60,-0.6562184201231162,-1.147832598589583,-0.003306692079045015,1.917952074506867,-1.201979468878722,1.4652896835024707,2.696362115942504
61,-0.6366614631200584,-1.1592080500401982,-0.0032025624042501576,1.8724492987656864,-1.1522270589952606,1.39792640139498,2.6053582854659543
62,-0.6169443380165608,-1.1702667289722817,-0.0031066561117368448,1.8271785486573993,-1.1051257476403196,1.3226842134068322,2.5118475063520447
63,-0.5970643418951728,-1.1810020346094963,-0.0030211612789793224,1.782769058254913,-1.0607973356027731,1.2408642234866374,2.417291981416839
64,-0.5770241081737714,-1.1914099172531853,-0.0029461504713503015,1.7393963429984638,-1.019134434763726,1.1523395215206733,2.3220725671296543
65,-0.5568261553601671,-1.2014883647509584,-0.0028807804232818725,1.6969740532137738,-0.9797839549052808,1.0578915995940206,2.226843544585522
66,-0.5364690123605926,-1.2112290361256695,-0.002826806463850039,1.6561917932084655,-0.9428233426735079,0.9586884053404066,2.1333003937362527
67,-0.5159537278953085,-1.2206236961881118,-0.002783093787598697,1.6166856074293579,-0.9079996053829482,0.8553211714645981,2.0419867636692444
68,-0.4952803876315875,-1.2296671812666975,-0.00274953843117429,1.5785519470707727,-0.8750744495124602,0.7495015047558764,1.9543116556531577
69,-0.47445268324754536,-1.2383566805932469,-0.0027266157724817495,1.5422060717009256,-0.8440592987057229,0.6419886617955999,1.8716263273412517
70,-0.45347115624584294,-1.246683098555902,-0.002713013482231324,1.5074685385162778,-0.814678441867189,0.5338283866297879,1.794752101163644
71,-0.43233870562877524,-1.2546386587813432,-0.0027063841546767506,1.4738159056023636,-0.7866604863232588,0.4256374857648345,1.7239881999703686
72,-0.41106415431308563,-1.2622204606774556,-0.002705694522701963,1.441085553749564,-0.7597466458230673,0.31651748885493813,1.6595559224732754
73,-0.3896475056114042,-1.2694234859005147,-0.0027107489965751573,1.409588635465464,-0.7337234510600406,0.20848639204735145,1.6027341637145465
74,-0.3680945771539317,-1.2762475547513001,-0.002719045042489107,1.378854479804918,-0.7083228361360621,0.10232581545896895,1.553522284738545
75,-0.34641163607170233,-1.282687257116457,-0.0027293759309607035,1.3484383389069723,-0.6834556485317291,-0.00197673781229272,1.511754439330839
76,-0.32460320290267186,-1.2887355496911637,-0.0027390565717857972,1.3174692081426937,-0.6588580668617403,-0.10375062851967505,1.476679809434379
77,-0.30267533766718374,-1.2943911758519895,-0.002746257313247757,1.2857807263999792,-0.6342100869443148,-0.20249393824652673,1.4479151583536107
78,-0.28063520390605146,-1.2996532655868707,-0.0027512378105854604,1.253852944804505,-0.6095129792105692,-0.29830236966689405,1.425705994505865
79,-0.25848993802443965,-1.3045204705674343,-0.0027528975737818673,1.221026854386856,-0.5847424236366106,-0.3909761466284019,1.409146063531624
80,-0.23624615517593922,-1.308987267596045,-0.0027505446120098657,1.1870668822494148,-0.5599254163241798,-0.480629570356464,1.3977299591409607
81,-0.21391039403441198,-1.313048996349225,-0.0027418838621397134,1.1519514490692135,-0.5350072305131791,-0.5665962791058571,1.390775402863685
82,-0.1914876604948934,-1.3167022002484372,-0.0027255355006879927,1.115230506622376,-0.5101758913588401,-0.6483459058723243,1.3872169753453831
83,-0.16898450389054373,-1.319946245076875,-0.002701553989479687,1.0767819472586733,-0.48528926725170635,-0.7255832919288961,1.3861587745919484
84,-0.14640891657492552,-1.3227811009432182,-0.002669767277980302,1.036541604212939,-0.4601263695278329,-0.7982611982856636,1.3868510063765538
85,-0.12376712828876192,-1.3252023877655488,-0.0026289495045881935,0.9941870555666663,-0.43494753653463103,-0.8663661770928764,1.3885883528981464
86,-0.10106954718052676,-1.3272082347801963,-0.0025815805644098014,0.9504306361225153,-0.41018942544761217,-0.9304282207603054,1.3918586252980145
